deputado_id,switch_date,effect,abs_effect,n_pre,n_post,ideology_distance,direction,crosses_coalition,tenure_years,experience_cat,new_party_size,party_size_cat,vulnerability,old_CAT,new_CAT
74356,2019-08-16 16:25:00+00:00,-0.0313742634282366,0.0313742634282366,105,118,0.0,Unknown,False,16.14,Senior,25,Medium,Low,Right,Right
74366,2016-03-22 18:22:00+00:00,-0.07913130099124724,0.07913130099124724,16,36,0.28400000000000003,Unknown,False,12.53,Senior,19,Medium,Low,Center,Right
74366,2019-08-16 16:25:00+00:00,-0.07913130099124724,0.07913130099124724,16,36,0.0,Unknown,False,12.53,Senior,25,Medium,Low,Right,Right
74368,2003-06-02 00:00:00+00:00,0.022437462934148368,0.022437462934148368,5,17,0.11499999999999999,Unknown,False,0.26,Junior,48,Major,Low,Right,Right
74368,2005-11-17 11:51:00+00:00,0.022437462934148368,0.022437462934148368,5,17,0.533,Unknown,False,0.26,Junior,56,Major,Low,Right,Center
74372,2003-06-02 00:00:00+00:00,-3.572303428584238e-05,3.572303428584238e-05,35,50,0.11499999999999999,Unknown,False,0.2,Junior,48,Major,Low,Right,Right
74372,2018-12-11 10:29:00+00:00,-3.572303428584238e-05,3.572303428584238e-05,35,50,0.09700000000000009,Unknown,False,0.2,Junior,20,Medium,Low,Right,Right
74374,2007-08-07 18:24:00+00:00,-0.039833979029909324,0.039833979029909324,56,49,0.523,Unknown,False,4.4,Junior,84,Major,Low,Left,Center
74374,2016-03-28 21:39:00+00:00,-0.039833979029909324,0.039833979029909324,56,49,0.038000000000000006,Unknown,False,4.4,Junior,57,Major,Low,Center,Center
74377,2004-02-03 17:25:00+00:00,-0.03481067349971504,0.03481067349971504,15,24,1.279,Unknown,False,0.75,Junior,51,Major,Low,Left,Right
74377,2005-02-14 17:43:00+00:00,-0.03481067349971504,0.03481067349971504,15,24,1.42,Unknown,False,0.75,Junior,28,Medium,Low,Right,Left
74377,2005-09-16 15:50:00+00:00,-0.03481067349971504,0.03481067349971504,15,24,,Unknown,False,0.75,Junior,0,Minor,Low,Left,
74377,2005-09-21 11:33:00+00:00,-0.03481067349971504,0.03481067349971504,15,24,,Unknown,False,0.75,Junior,91,Major,Low,,Center
74382,2007-04-23 00:00:00+00:00,-0.052150087187180595,0.052150087187180595,22,49,0.02200000000000002,Unknown,False,7.89,Mid,62,Major,Low,Right,Right
74382,2011-10-26 12:04:00+00:00,-0.052150087187180595,0.052150087187180595,22,49,0.267,Unknown,False,7.89,Mid,38,Major,Low,Right,Right
74383,2003-06-17 15:12:00+00:00,-0.12874994698280282,0.12874994698280282,13,21,0.821,Unknown,False,0.31,Junior,42,Major,Low,Left,Right
74383,2007-01-25 00:00:00+00:00,-0.12874994698280282,0.12874994698280282,13,21,0.0030000000000000027,Unknown,False,0.31,Junior,39,Major,Low,Right,Right
74383,2019-05-22 17:05:00+00:00,-0.12874994698280282,0.12874994698280282,13,21,0.009000000000000008,Unknown,False,0.31,Junior,26,Medium,Low,Right,Right
74385,2003-08-25 10:19:00+00:00,-0.015650847346021624,0.015650847346021624,42,76,0.782,Unknown,False,3.38,Junior,83,Major,Low,Left,Center
74385,2007-02-01 15:52:00+00:00,-0.015650847346021624,0.015650847346021624,42,76,,Unknown,False,3.38,Junior,0,Minor,Low,Center,
74385,2007-03-29 00:00:00+00:00,-0.015650847346021624,0.015650847346021624,42,76,,Unknown,False,3.38,Junior,25,Medium,Low,,Right
74385,2007-04-10 00:00:00+00:00,-0.015650847346021624,0.015650847346021624,42,76,,Unknown,False,3.38,Junior,0,Minor,Low,Right,
74385,2007-06-11 00:00:00+00:00,-0.015650847346021624,0.015650847346021624,42,76,,Unknown,False,3.38,Junior,25,Medium,Low,,Right
74385,2007-07-11 20:49:00+00:00,-0.015650847346021624,0.015650847346021624,42,76,0.16600000000000004,Unknown,False,3.38,Junior,11,Medium,Low,Right,Right
74387,2003-06-02 00:00:00+00:00,-0.008409485714950246,0.008409485714950246,64,66,0.11499999999999999,Unknown,False,2.21,Junior,48,Major,Low,Right,Right
74387,2005-08-30 19:09:00+00:00,-0.008409485714950246,0.008409485714950246,64,66,,Unknown,False,2.21,Junior,0,Minor,Low,Right,
74387,2005-09-22 15:29:00+00:00,-0.008409485714950246,0.008409485714950246,64,66,,Unknown,False,2.21,Junior,62,Major,Low,,Right
74388,2011-11-09 00:00:00+00:00,-0.01096701183170054,0.01096701183170054,16,11,0.907,Unknown,False,8.62,Mid,38,Major,Low,Left,Right
74388,2013-05-16 17:06:00+00:00,-0.01096701183170054,0.01096701183170054,16,11,,Unknown,False,8.62,Mid,0,Minor,Low,Right,
74388,2013-10-08 19:10:00+00:00,-0.01096701183170054,0.01096701183170054,16,11,,Unknown,False,8.62,Mid,41,Major,Low,,Right
74388,2018-12-11 10:29:00+00:00,-0.01096701183170054,0.01096701183170054,16,11,0.09700000000000009,Unknown,False,8.62,Mid,20,Medium,Low,Right,Right
74392,2003-06-02 00:00:00+00:00,2.0367151779645767e-05,2.0367151779645767e-05,30,71,0.11499999999999999,Unknown,False,0.22999999999999998,Junior,48,Major,Low,Right,Right
74394,2003-06-02 00:00:00+00:00,3.531951781945048e-05,3.531951781945048e-05,22,42,0.11499999999999999,Unknown,False,0.23,Junior,48,Major,Low,Right,Right
74399,2007-04-23 00:00:00+00:00,-0.19306077834673002,0.19306077834673002,88,162,0.02200000000000002,Unknown,False,4.11,Junior,62,Major,Low,Right,Right
74399,2022-02-23 00:00:00+00:00,-0.19306077834673002,0.19306077834673002,88,162,,Unknown,False,4.11,Junior,0,Minor,Low,Right,
74399,2022-04-05 16:25:00+00:00,-0.19306077834673002,0.19306077834673002,88,162,,Unknown,False,4.11,Junior,58,Major,Low,,Right
74421,2005-02-10 12:00:00+00:00,0.002430586096677581,0.002430586096677581,769,900,0.566,Unknown,False,30.17,Senior,91,Major,Low,Right,Center
74421,2005-08-29 17:48:00+00:00,0.002430586096677581,0.002430586096677581,769,900,0.306,Unknown,False,30.17,Senior,52,Major,Low,Center,Right
74421,2007-01-25 00:00:00+00:00,0.002430586096677581,0.002430586096677581,769,900,0.0030000000000000027,Unknown,False,30.17,Senior,39,Major,Low,Right,Right
74427,2003-08-07 17:35:00+00:00,-0.012601280385523952,0.012601280385523952,23,15,0.28,Unknown,False,12.81,Senior,55,Major,Low,Center,Right
74427,2004-10-29 17:49:00+00:00,-0.012601280385523952,0.012601280385523952,23,15,,Unknown,False,12.81,Senior,0,Minor,Low,Right,
74427,2004-12-15 11:44:00+00:00,-0.012601280385523952,0.012601280385523952,23,15,,Unknown,False,12.81,Senior,16,Medium,Low,,Left
74433,2003-05-14 10:47:00+00:00,-0.10590535318139818,0.10590535318139818,30,41,0.28,Unknown,False,16.03,Senior,55,Major,Low,Center,Right
74433,2004-10-06 17:13:00+00:00,-0.10590535318139818,0.10590535318139818,30,41,,Unknown,False,16.03,Senior,0,Minor,Low,Right,
74433,2004-12-29 17:08:00+00:00,-0.10590535318139818,0.10590535318139818,30,41,,Unknown,False,16.03,Senior,62,Major,Low,,Right
74433,2007-04-23 00:00:00+00:00,-0.10590535318139818,0.10590535318139818,30,41,0.02200000000000002,Unknown,False,16.03,Senior,62,Major,Low,Right,Right
74436,2003-06-02 00:00:00+00:00,-7.058515869503879e-06,7.058515869503879e-06,27,25,0.11499999999999999,Unknown,False,8.28,Mid,48,Major,Low,Right,Right
74444,2003-09-16 18:14:00+00:00,-0.06938330944130758,0.06938330944130758,32,63,1.1720000000000002,Unknown,False,5.355,Mid,7,Minor,Low,Left,Right
74444,2005-02-02 16:06:00+00:00,-0.06938330944130758,0.06938330944130758,32,63,0.39,Unknown,False,5.355,Mid,91,Major,Low,Right,Center
74444,2005-08-10 12:09:00+00:00,-0.06938330944130758,0.06938330944130758,32,63,0.42500000000000004,Unknown,False,5.355,Mid,6,Minor,Low,Center,Right
74459,2007-02-28 10:39:00+00:00,-0.021595826190020234,0.021595826190020234,12,11,0.678,Unknown,False,32.15,Senior,30,Major,Low,Center,Left
74459,2019-11-20 13:52:00+00:00,-0.021595826190020234,0.021595826190020234,12,11,1.005,Unknown,False,32.15,Senior,34,Major,Low,Left,Right
74469,2003-07-02 16:28:00+00:00,-0.04719728500027741,0.04719728500027741,12,8,,Unknown,False,5.73,Mid,0,Minor,Low,Center,
74469,2003-08-04 11:08:00+00:00,-0.04719728500027741,0.04719728500027741,12,8,,Unknown,False,5.73,Mid,42,Major,Low,,Right
74469,2007-01-25 00:00:00+00:00,-0.04719728500027741,0.04719728500027741,12,8,0.0030000000000000027,Unknown,False,5.73,Mid,39,Major,Low,Right,Right
74471,2007-04-23 00:00:00+00:00,-0.2017216477998352,0.2017216477998352,7,18,0.02200000000000002,Unknown,False,7.86,Mid,62,Major,Low,Right,Right
74471,2014-03-13 12:15:00+00:00,-0.2017216477998352,0.2017216477998352,7,18,0.29300000000000004,Unknown,False,7.86,Mid,40,Major,Low,Right,Right
74477,2003-05-14 10:47:00+00:00,-0.054798045845445995,0.054798045845445995,9,22,0.25799999999999995,Unknown,False,18.29,Senior,55,Major,Low,Right,Right
74477,2005-09-30 10:00:00+00:00,-0.054798045845445995,0.054798045845445995,9,22,0.34199999999999997,Unknown,False,18.29,Senior,62,Major,Low,Right,Right
74480,2003-06-02 00:00:00+00:00,1.3530805078785743e-05,1.3530805078785743e-05,17,38,0.11499999999999999,Unknown,False,0.27,Junior,48,Major,Low,Right,Right
74484,2005-09-27 15:43:00+00:00,-0.022500189919163895,0.022500189919163895,12,11,0.9590000000000001,Unknown,False,2.12,Junior,28,Medium,Low,Right,Left
74489,2003-12-17 18:25:00+00:00,-0.014640417106536567,0.014640417106536567,85,71,0.81,Unknown,False,1.1949999999999998,Junior,36,Major,Low,Center,Left
74489,2004-12-23 11:48:00+00:00,-0.014640417106536567,0.014640417106536567,85,71,1.053,Unknown,False,1.1949999999999998,Junior,45,Major,Low,Left,Right
74489,2005-08-24 14:01:00+00:00,-0.014640417106536567,0.014640417106536567,85,71,0.281,Unknown,False,1.1949999999999998,Junior,56,Major,Low,Right,Center
74493,2005-02-14 22:13:00+00:00,-0.048987358259418586,0.048987358259418586,27,23,0.14100000000000001,Unknown,False,1.62,Junior,20,Medium,Low,Left,Left
74517,2003-04-07 10:17:00+00:00,0.055613144531046724,0.055613144531046724,5,16,0.33,Unknown,False,8.3,Mid,39,Major,Low,Right,Right
74517,2003-06-02 00:00:00+00:00,0.055613144531046724,0.055613144531046724,5,16,0.11499999999999999,Unknown,False,8.3,Mid,48,Major,Low,Right,Right
74537,2007-04-23 00:00:00+00:00,-0.041694212929885635,0.041694212929885635,89,74,0.02200000000000002,Unknown,False,12.19,Senior,62,Major,Low,Right,Right
74537,2018-04-13 14:30:00+00:00,-0.041694212929885635,0.041694212929885635,89,74,0.008000000000000007,Unknown,False,12.19,Senior,48,Major,Low,Right,Right
74537,2018-12-11 10:29:00+00:00,-0.041694212929885635,0.041694212929885635,89,74,0.09700000000000009,Unknown,False,12.19,Senior,20,Medium,Low,Right,Right
74542,2003-10-03 15:07:00+00:00,-0.08474581738507084,0.08474581738507084,11,14,0.25799999999999995,Unknown,False,23.4,Senior,70,Major,Low,Right,Right
74542,2007-04-23 00:00:00+00:00,-0.08474581738507084,0.08474581738507084,11,14,0.02200000000000002,Unknown,False,23.4,Senior,62,Major,Low,Right,Right
74550,2005-09-28 10:57:00+00:00,-0.02857037353587867,0.02857037353587867,29,11,0.25200000000000006,Unknown,False,10.43,Senior,53,Major,Low,Right,Right
74552,2007-04-23 00:00:00+00:00,-0.08388819621744428,0.08388819621744428,16,14,0.02200000000000002,Unknown,False,15.86,Senior,62,Major,Low,Right,Right
74553,2007-04-23 00:00:00+00:00,-0.07545323380112018,0.07545323380112018,59,82,0.02200000000000002,Unknown,False,15.82,Senior,62,Major,Low,Right,Right
74554,2007-03-05 00:00:00+00:00,-0.04882434994635555,0.04882434994635555,22,35,0.292,Unknown,False,23.34,Senior,39,Major,Low,Right,Right
74554,2019-05-22 17:05:00+00:00,-0.04882434994635555,0.04882434994635555,22,35,0.009000000000000008,Unknown,False,23.34,Senior,26,Medium,Low,Right,Right
74554,2022-04-07 15:33:00+00:00,-0.04882434994635555,0.04882434994635555,22,35,,Unknown,False,23.34,Senior,0,Minor,Low,Right,
74558,2013-09-30 16:30:00+00:00,-0.08217140107364126,0.08217140107364126,42,62,0.557,Unknown,False,14.44,Senior,12,Medium,Low,Left,Center
74558,2016-03-15 10:19:00+00:00,-0.08217140107364126,0.08217140107364126,42,62,,Unknown,False,14.44,Senior,0,Minor,Low,Center,
74558,2018-04-05 10:31:00+00:00,-0.08217140107364126,0.08217140107364126,42,62,,Unknown,False,14.44,Senior,0,Minor,Low,,
74574,2007-04-23 00:00:00+00:00,0.03507151076153434,0.03507151076153434,5,14,0.02200000000000002,Unknown,False,12.12,Senior,62,Major,Low,Right,Right
74574,2011-10-26 12:01:00+00:00,0.03507151076153434,0.03507151076153434,5,14,0.267,Unknown,False,12.12,Senior,38,Major,Low,Right,Right
74577,2003-09-11 17:58:00+00:00,-0.14468752940243812,0.14468752940243812,38,30,1.1720000000000002,Unknown,False,5.0649999999999995,Mid,7,Minor,Low,Left,Right
74577,2005-01-31 18:40:00+00:00,-0.14468752940243812,0.14468752940243812,38,30,0.39,Unknown,False,5.0649999999999995,Mid,91,Major,Low,Right,Center
74585,2003-02-01 15:04:00+00:00,-0.03773217518328628,0.03773217518328628,45,250,0.37800000000000006,Unknown,False,7.29,Mid,42,Major,Low,Right,Right
74585,2007-01-25 00:00:00+00:00,-0.03773217518328628,0.03773217518328628,45,250,0.0030000000000000027,Unknown,False,7.29,Mid,39,Major,Low,Right,Right
74585,2016-03-17 12:21:00+00:00,-0.03773217518328628,0.03773217518328628,45,250,0.0,Unknown,False,7.29,Mid,19,Medium,Low,Right,Right
74585,2018-03-20 17:03:00+00:00,-0.03773217518328628,0.03773217518328628,45,250,0.0,Unknown,False,7.29,Mid,33,Major,Low,Right,Right
74585,2019-05-22 17:05:00+00:00,-0.03773217518328628,0.03773217518328628,45,250,0.009000000000000008,Unknown,False,7.29,Mid,26,Medium,Low,Right,Right
74665,2003-02-01 14:16:00+00:00,-0.003924181171099279,0.003924181171099279,6,12,0.295,Unknown,False,11.44,Senior,42,Major,Low,Right,Right
74665,2007-01-25 00:00:00+00:00,-0.003924181171099279,0.003924181171099279,6,12,0.0030000000000000027,Unknown,False,11.44,Senior,39,Major,Low,Right,Right
74665,2013-10-31 11:21:00+00:00,-0.003924181171099279,0.003924181171099279,6,12,0.05199999999999999,Unknown,False,11.44,Senior,48,Major,Low,Right,Right
74665,2018-04-06 15:42:00+00:00,-0.003924181171099279,0.003924181171099279,6,12,0.353,Unknown,False,11.44,Senior,10,Medium,Low,Right,Center
74675,2003-08-25 10:20:00+00:00,-0.0791300116589694,0.0791300116589694,37,36,0.782,Unknown,False,4.32,Junior,83,Major,Low,Left,Center
74680,2003-08-07 09:21:00+00:00,0.0029495045837375222,0.0029495045837375222,169,157,0.6100000000000001,Unknown,False,5.62,Mid,48,Major,Low,Center,Right
74680,2005-02-02 15:56:00+00:00,0.0029495045837375222,0.0029495045837375222,169,157,0.638,Unknown,False,5.62,Mid,91,Major,Low,Right,Center
74680,2005-10-05 10:46:00+00:00,0.0029495045837375222,0.0029495045837375222,169,157,0.42500000000000004,Unknown,False,5.62,Mid,6,Minor,Low,Center,Right
74683,2003-05-22 18:11:00+00:00,-0.04301131577089262,0.04301131577089262,11,37,,Unknown,False,4.16,Junior,0,Minor,Low,Right,
