id,uri,nome,nomeEleitoral,siglaPartido,uriPartido,siglaUf,idLegislatura,email,urlFoto,dataHora,situacao,condicaoEleitoral,descricaoStatus,deputado_id,idLegislatura_inicial,data_inicio_carreira,partido_inicio_carreira,condicao_eleitoral_inicial
131711,https://dadosabertos.camara.leg.br/api/v2/deputados/131711,ACÁCIO JÚNIOR,ACÁCIO JÚNIOR,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,,https://www.camara.leg.br/internet/deputado/bandep/131711.jpg,2011-01-18T16:50,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente,131711,53,2007-02-01T00:00,PSB,
131711,https://dadosabertos.camara.leg.br/api/v2/deputados/131711,ACÁCIO JÚNIOR,ACÁCIO JÚNIOR,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,,https://www.camara.leg.br/internet/deputado/bandep/131711.jpg,2011-01-19T09:56,Exercício,Suplente,Entrada - Posse de Suplente - Posse como Suplente,131711,53,2007-02-01T00:00,PSB,
131711,https://dadosabertos.camara.leg.br/api/v2/deputados/131711,ACÁCIO JÚNIOR,ACÁCIO JÚNIOR,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,CE,53,,https://www.camara.leg.br/internet/deputado/bandep/131711.jpg,2011-01-31T23:59,Fim de Mandato,Suplente,Saída - Afastamento definitivo - Término da Legislatura,131711,53,2007-02-01T00:00,PSB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2011-02-01T00:00,,,Nome no início da legislatura / Partido no início da legislatura,161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2011-02-02T10:47,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente - Aguardando Convocação de Suplente,161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2011-02-02T10:47,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente,161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2011-02-03T14:02,Exercício,Suplente,Entrada - Posse de Suplente - Posse como Suplente,161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2014-04-01T09:03,Suplência,Suplente,Saída - Afastamento sem prazo determinado - Afastamento de Suplente (automático),161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2014-06-05T09:55,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente - Aguardando Convocação de Suplente,161907,54,2011-02-01T00:00,PRB,
161907,https://dadosabertos.camara.leg.br/api/v2/deputados/161907,ACELINO POPÓ,ACELINO POPÓ,PRB,https://dadosabertos.camara.leg.br/api/v2/partidos/36815,BA,54,,https://www.camara.leg.br/internet/deputado/bandep/161907.jpg,2014-06-05T09:55,Convocado,Suplente,Diverso - Convocação Eleito ou Suplente,161907,54,2011-02-01T00:00,PRB,
