id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,email
74377,https://dadosabertos.camara.leg.br/api/v2/deputados/74377,ANDRÉ ZACHAROW,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PR,52,https://www.camara.leg.br/internet/deputado/bandep/74377.jpg,
74377,https://dadosabertos.camara.leg.br/api/v2/deputados/74377,ANDRÉ ZACHAROW,S.PART.,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PR,52,https://www.camara.leg.br/internet/deputado/bandep/74377.jpg,
74377,https://dadosabertos.camara.leg.br/api/v2/deputados/74377,ANDRÉ ZACHAROW,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PR,52,https://www.camara.leg.br/internet/deputado/bandep/74377.jpg,
74377,https://dadosabertos.camara.leg.br/api/v2/deputados/74377,ANDRE ZACHAROW,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PR,53,https://www.camara.leg.br/internet/deputado/bandep/74377.jpg,
74377,https://dadosabertos.camara.leg.br/api/v2/deputados/74377,ANDRÉ ZACHAROW,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PR,54,https://www.camara.leg.br/internet/deputado/bandep/74377.jpg,
141379,https://dadosabertos.camara.leg.br/api/v2/deputados/141379,ANDREIA ZITO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,53,https://www.camara.leg.br/internet/deputado/bandep/141379.jpg,
141379,https://dadosabertos.camara.leg.br/api/v2/deputados/141379,ANDREIA ZITO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,54,https://www.camara.leg.br/internet/deputado/bandep/141379.jpg,
141379,https://dadosabertos.camara.leg.br/api/v2/deputados/141379,ANDREIA ZITO,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,RJ,55,https://www.camara.leg.br/internet/deputado/bandep/141379.jpg,
141379,https://dadosabertos.camara.leg.br/api/v2/deputados/141379,Andreia Zito,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,RJ,56,https://www.camara.leg.br/internet/deputado/bandep/141379.jpg,
178974,https://dadosabertos.camara.leg.br/api/v2/deputados/178974,ANDRES SANCHEZ,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,55,https://www.camara.leg.br/internet/deputado/bandep/178974.jpg,
192120,https://dadosabertos.camara.leg.br/api/v2/deputados/192120,ANGELA ALBINO,PCdoB,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,SC,55,https://www.camara.leg.br/internet/deputado/bandep/192120.jpg,
73696,https://dadosabertos.camara.leg.br/api/v2/deputados/73696,ANGELA AMIN,PP**,https://dadosabertos.camara.leg.br/api/v2/partidos/36809,SC,53,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg,
73696,https://dadosabertos.camara.leg.br/api/v2/deputados/73696,Angela Amin,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SC,56,https://www.camara.leg.br/internet/deputado/bandep/73696.jpg,
74699,https://dadosabertos.camara.leg.br/api/v2/deputados/74699,ANGELA GUADAGNIN,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,52,https://www.camara.leg.br/internet/deputado/bandep/74699.jpg,
141380,https://dadosabertos.camara.leg.br/api/v2/deputados/141380,ANGELA PORTELA,PTC,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RR,53,https://www.camara.leg.br/internet/deputado/bandep/141380.jpg,
141380,https://dadosabertos.camara.leg.br/api/v2/deputados/141380,ANGELA PORTELA,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RR,53,https://www.camara.leg.br/internet/deputado/bandep/141380.jpg,
178837,https://dadosabertos.camara.leg.br/api/v2/deputados/178837,ANGELIM,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,AC,55,https://www.camara.leg.br/internet/deputado/bandep/178837.jpg,
160638,https://dadosabertos.camara.leg.br/api/v2/deputados/160638,ÂNGELO AGNOLIN,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,TO,54,https://www.camara.leg.br/internet/deputado/bandep/160638.jpg,
141381,https://dadosabertos.camara.leg.br/api/v2/deputados/141381,ANGELO VANHONI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PR,53,https://www.camara.leg.br/internet/deputado/bandep/141381.jpg,
141381,https://dadosabertos.camara.leg.br/api/v2/deputados/141381,ANGELO VANHONI,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PR,54,https://www.camara.leg.br/internet/deputado/bandep/141381.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,ANÍBAL GOMES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,CE,52,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,ANÍBAL GOMES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,CE,53,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,ANÍBAL GOMES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,CE,54,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,ANÍBAL GOMES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,CE,55,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,ANÍBAL GOMES,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,CE,55,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,Aníbal Gomes,DEM,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,CE,56,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74212,https://dadosabertos.camara.leg.br/api/v2/deputados/74212,Aníbal Gomes,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,CE,56,https://www.camara.leg.br/internet/deputado/bandep/74212.jpg,
74072,https://dadosabertos.camara.leg.br/api/v2/deputados/74072,ANIVALDO VALE,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,PA,52,https://www.camara.leg.br/internet/deputado/bandep/74072.jpg,
73928,https://dadosabertos.camara.leg.br/api/v2/deputados/73928,ANN PONTES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PA,52,https://www.camara.leg.br/internet/deputado/bandep/73928.jpg,
73928,https://dadosabertos.camara.leg.br/api/v2/deputados/73928,ANN PONTES,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,PA,53,https://www.camara.leg.br/internet/deputado/bandep/73928.jpg,
73937,https://dadosabertos.camara.leg.br/api/v2/deputados/73937,ANSELMO,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RO,52,https://www.camara.leg.br/internet/deputado/bandep/73937.jpg,
73937,https://dadosabertos.camara.leg.br/api/v2/deputados/73937,ANSELMO DE JESUS,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RO,52,https://www.camara.leg.br/internet/deputado/bandep/73937.jpg,
73937,https://dadosabertos.camara.leg.br/api/v2/deputados/73937,ANSELMO DE JESUS,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RO,53,https://www.camara.leg.br/internet/deputado/bandep/73937.jpg,
73937,https://dadosabertos.camara.leg.br/api/v2/deputados/73937,ANSELMO DE JESUS,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RO,54,https://www.camara.leg.br/internet/deputado/bandep/73937.jpg,
133371,https://dadosabertos.camara.leg.br/api/v2/deputados/133371,ANTENOR NASPOLINI,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,CE,52,https://www.camara.leg.br/internet/deputado/bandep/133371.jpg,
160539,https://dadosabertos.camara.leg.br/api/v2/deputados/160539,ANTHONY GAROTINHO,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/36814,RJ,54,https://www.camara.leg.br/internet/deputado/bandep/160539.jpg,
123756,https://dadosabertos.camara.leg.br/api/v2/deputados/123756,ANTÔNIA LÚCIA,PSC,https://dadosabertos.camara.leg.br/api/v2/partidos/36833,AC,54,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg,
123756,https://dadosabertos.camara.leg.br/api/v2/deputados/123756,Antônia Lúcia,PR,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,AC,56,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg,
123756,https://dadosabertos.camara.leg.br/api/v2/deputados/123756,Antônia Lúcia,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,AC,56,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg,
123756,https://dadosabertos.camara.leg.br/api/v2/deputados/123756,Antônia Lúcia,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,AC,56,https://www.camara.leg.br/internet/deputado/bandep/123756.jpg,
141387,https://dadosabertos.camara.leg.br/api/v2/deputados/141387,ANTÔNIO ANDRADE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,MG,53,https://www.camara.leg.br/internet/deputado/bandep/141387.jpg,
141387,https://dadosabertos.camara.leg.br/api/v2/deputados/141387,ANTÔNIO ANDRADE,PMDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36800,MG,54,https://www.camara.leg.br/internet/deputado/bandep/141387.jpg,
74213,https://dadosabertos.camara.leg.br/api/v2/deputados/74213,ANTONIO BALHMANN,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,CE,54,https://www.camara.leg.br/internet/deputado/bandep/74213.jpg,
74213,https://dadosabertos.camara.leg.br/api/v2/deputados/74213,ANTONIO BALHMANN,S.PART.,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,CE,54,https://www.camara.leg.br/internet/deputado/bandep/74213.jpg,
