deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,group,vocab_shift
141440,2014-04-24 00:00:00+00:00,Left,Left,110,70,0.8602752,0.87407976,-0.013804555,0.5873497927804868,0.5763086879554046,0.011041104825082249,0.016586320916931928,0.011031680560989571,0.005808983644970646,0.003606709425526124,-0.005554640355942357,-0.0022022742194445217,control,0.003352366136497835
141440,2011-10-26 12:07:00+00:00,Left,Left,159,154,0.878827,0.8717219,0.0071050525,0.599202748278932,0.5848175638314356,0.01438518444749648,0.013971408505760003,0.011542486304171483,0.004174866196558889,0.006828452502154692,-0.00242892220158852,0.0026535863055958024,control,0.005082508507184323
74274,2005-03-22 15:17:00+00:00,Left,Left,15,12,0.8356211,0.88538116,-0.049760044,0.5514872420523873,0.5252246442976857,0.026262597754701633,0.00507441256583511,0.0031434274164380735,0.001975222105962971,0.002314154265493159,-0.0019309851493970365,0.0003389321595301878,control,0.0022699173089272243
74274,2007-04-23 00:00:00+00:00,Left,Left,16,10,0.84529424,0.87959653,-0.034302294,0.505418267324272,0.527401665524742,-0.021983398200470017,0.002318295739348371,0.00189873417721519,0.0040880781012359955,0.002261335156071998,-0.00041956156213318087,-0.0018267429451639975,control,-0.0014071813830308167
204536,2019-08-16 16:25:00+00:00,Right,Right,38,50,0.88182116,0.8562919,0.025529265,0.41782922256269744,0.5175515583930018,-0.09972233583030438,0.009501216364450718,0.006245624348038615,0.010945978448861991,0.04012936086254879,-0.0032555920164121024,0.0291833824136868,control,0.0324389744300989
204536,2019-05-22 17:05:00+00:00,Right,Right,23,58,0.88793904,0.86120087,0.026738167,0.4338715335334581,0.4522313925166779,-0.01835985898321979,0.010706508937377257,0.007229755098394569,0.007598469038821527,0.027970033584760325,-0.003476753838982689,0.0203715645459388,control,0.023848318384921487
204536,2019-08-21 11:25:00+00:00,Right,Right,39,49,0.88156384,0.8559756,0.025588214,0.41645909081140414,0.5206772211303641,-0.10421813031895993,0.009257595432028904,0.0063730860694271585,0.010665312334788606,0.040948327410764075,-0.002884509362601746,0.03028301507597547,control,0.03316752443857721
204536,2019-08-16 16:25:00+00:00,Right,Right,38,50,0.88182116,0.8562919,0.025529265,0.41782922256269744,0.5175515583930018,-0.09972233583030438,0.009501216364450718,0.006245624348038615,0.010945978448861991,0.04012936086254879,-0.0032555920164121024,0.0291833824136868,control,0.0324389744300989
204536,2019-08-16 16:25:00+00:00,Right,Right,38,50,0.88182116,0.8562919,0.025529265,0.41782922256269744,0.5175515583930018,-0.09972233583030438,0.009501216364450718,0.006245624348038615,0.010945978448861991,0.04012936086254879,-0.0032555920164121024,0.0291833824136868,control,0.0324389744300989
178891,2016-03-09 12:23:00+00:00,Center,Center,175,85,0.85232526,0.8462801,0.0060451627,0.31260082362294733,0.30043949279513704,0.01216133082781029,0.0032628145242562276,0.00538401080858264,0.004962660679267983,0.007413494971064875,0.0021211962843264123,0.002450834291796892,control,0.0003296380074704797
178891,2016-03-17 13:20:00+00:00,Center,Center,181,77,0.8524509,0.84466237,0.007788539,0.3142518013781844,0.2871196317334745,0.027132169644709936,0.003377661710547336,0.00534538795692829,0.004847926120888984,0.008066728097811757,0.001967726246380954,0.003218801976922773,control,0.0012510757305418188
178891,2016-03-16 17:30:00+00:00,Center,Center,180,78,0.8522957,0.84512043,0.0071752667,0.3145972488196834,0.28667029365879365,0.02792695516088972,0.0033964264978281547,0.005276857342095875,0.004874859043782812,0.007963308506814171,0.0018804308442677206,0.003088449463031359,control,0.0012080186187636384
178891,2016-03-21 16:39:00+00:00,Center,Center,178,78,0.85171115,0.84602827,0.0056828856,0.31510314486547875,0.2843070149650651,0.030796129900413638,0.0034122062127193696,0.005276857342095876,0.004806929333026648,0.00829203960477604,0.0018646511293765066,0.0034851102717493917,control,0.001620459142372885
178891,2016-03-15 19:25:00+00:00,Center,Center,177,81,0.8517189,0.8466466,0.0050722957,0.3145503938643943,0.28780701208556936,0.02674338177882496,0.0032447442518193825,0.005538665552105128,0.004957483773338453,0.007668371154709943,0.0022939213002857455,0.0027108873813714903,control,0.00041696608108574484
