deputado_id,event_date,old_bloc,new_bloc,n_pre,n_post,sim_old_pre,sim_old_post,delta_sim_old,conf_old_pre,conf_old_post,delta_conf,left_vocab_pre,left_vocab_post,right_vocab_pre,right_vocab_post,delta_left_vocab,delta_right_vocab,ideo_distance,is_rightward,bloc_change,group,sim_new_pre,sim_new_post,delta_sim_new,vocab_shift
160597,2013-08-20 12:22:00+00:00,Left,,13,10,0.898448,0.903992,-0.005544007,0.41723759464031135,0.324551268245287,0.09268632639502433,0.007130397542741486,0.0002463054187192118,0.01525877518436275,0.016135575467410172,-0.006884092124022275,0.0008768002830474228,,False,True,switcher,,,,0.0077608924070696975
160600,2013-10-04 11:23:00+00:00,Center,Center,16,33,0.86223066,0.84369606,0.0185346,0.21162171974428282,0.24830804553632238,-0.036686325792039565,0.006851546319371641,0.0008425419609630136,0.02540562563369876,0.01271679434522937,-0.0060090043584086275,-0.012688831288469392,0.099,True,False,switcher,,,,-0.006679826930060764
160600,2014-04-24 00:00:00+00:00,Center,Center,40,49,0.85373384,0.8388936,0.014840245,0.24464311139971845,0.2643442404187819,-0.019701129019063457,0.003251891564663547,0.0035926376129451856,0.014523767047852543,0.013553018191114527,0.0003407460482816385,-0.000970748856738016,0.0,False,False,switcher,,,,-0.0013114949050196546
160600,2016-03-17 16:39:00+00:00,Center,Left,167,40,0.8388111,0.8415947,-0.0027835965,0.2773188677290718,0.34512075219717664,-0.06780188446810481,0.0058795456134726875,0.003721699035732537,0.011607355432259272,0.004825272694266597,-0.0021578465777401506,-0.006782082737992675,0.5599999999999999,False,True,switcher,0.8386832475662231,0.8409589529037476,0.002275705337524414,-0.004624236160252524
160601,2018-03-14 19:26:00+00:00,Right,Right,92,41,0.86869305,0.8793164,-0.010623336,0.3757015668793575,0.3418937771711622,0.03380778970819531,0.008121039195147433,0.02405818836717575,0.010677283447662918,0.014645637071172588,0.015937149172028316,0.00396835362350967,0.272,False,False,switcher,,,,-0.011968795548518646
160619,2011-10-26 12:00:00+00:00,Right,Right,21,12,0.8695432,0.8705628,-0.001019597,0.3026836896273481,0.24803937468962667,0.05464431493772143,0.007802082688665433,0.005376344086021505,0.007718657635917659,0.002109704641350211,-0.002425738602643928,-0.005608952994567448,0.267,False,False,switcher,,,,-0.00318321439192352
160621,2016-03-30 20:03:00+00:00,Left,Right,143,39,0.8474757,0.853799,-0.006323278,0.48382704186401193,0.43142347174494755,0.05240357011906438,0.002939929558672777,0.004779510104491648,0.003129327978270792,0.009709558888127185,0.001839580545818871,0.006580230909856393,0.78,True,True,switcher,0.8498208522796631,0.8561328053474426,0.006311953067779541,0.004740650364037521
160632,2013-10-04 15:15:00+00:00,Left,Center,11,22,0.8965158,0.88463724,0.01187855,0.6303705337297774,0.694775682841949,-0.06440514911217166,0.010822070108284756,0.020094863180843026,0.009300494564204197,0.003935268144747287,0.00927279307255827,-0.00536522641945691,0.506,True,True,switcher,0.893923819065094,0.8813548684120178,-0.012568950653076172,-0.01463801949201518
160632,2018-12-17 15:27:00+00:00,Center,Center,28,53,0.8556024,0.8537993,0.0018031001,0.18156562548201913,0.18082175725457122,0.0007438682274479025,0.019792316306588804,0.005945207534783085,0.0077888381459810035,0.019091218747050765,-0.013847108771805719,0.01130238060106976,0.0,False,False,switcher,,,,0.025149489372875478
160636,2013-10-08 19:11:00+00:00,Center,Right,21,40,0.88646936,0.8730405,0.013428867,0.25546545709698587,0.26256760192682627,-0.0071021448298403955,0.0038772988993943745,0.0018053135888501741,0.00548112550562619,0.012320928788782787,-0.0020719853105442003,0.006839803283156597,0.22200000000000003,True,True,switcher,0.8864293098449707,0.8756152987480164,-0.010814011096954346,0.008911788593700797
