event_id,deputado_id,is_switcher,post,conf
sw_126,178951,1,0,0.364351905859597
sw_126,178951,1,1,0.34378938001527387
sw_127,178953,1,0,0.1896520523971723
sw_127,178953,1,1,0.16505481327815943
sw_128,178965,1,0,0.5498274013974324
sw_128,178965,1,1,0.6044752329054949
sw_129,178972,1,0,0.4069342451042447
sw_129,178972,1,1,0.45956083436654166
sw_130,178978,1,0,0.46150467270244927
sw_130,178978,1,1,0.45994108889216373
sw_131,178981,1,0,0.5030273731899665
sw_131,178981,1,1,0.5720036328884832
sw_132,178981,1,0,0.22218702730589812
sw_132,178981,1,1,0.16692334705471187
sw_133,178983,1,0,0.312374146989967
sw_133,178983,1,1,0.32411792513425486
sw_134,178993,1,0,0.4804367034346296
sw_134,178993,1,1,0.3286644657410094
sw_135,178997,1,0,0.4119742823665436
sw_135,178997,1,1,0.43815900406161506
sw_136,178997,1,0,0.3829742537996531
sw_136,178997,1,1,0.2684530786404421
sw_137,178998,1,0,0.27073867098244303
sw_137,178998,1,1,0.3102127133617201
sw_138,186775,1,0,0.4605576623667104
sw_138,186775,1,1,0.35671167754629046
sw_139,187008,1,0,0.2025427416878057
sw_139,187008,1,1,0.21300144049091504
sw_140,195143,1,0,0.33848949070427725
sw_140,195143,1,1,0.289530879202524
sw_141,200153,1,0,0.16242889284886763
sw_141,200153,1,1,0.23599842535619892
sw_142,204353,1,0,0.16159863549115677
sw_142,204353,1,1,0.18962465714642313
sw_143,204355,1,0,0.46644317064652213
sw_143,204355,1,1,0.5370671345318339
sw_144,204364,1,0,0.2213844566886582
sw_144,204364,1,1,0.2485719822589091
sw_145,204369,1,0,0.4751337195714158
sw_145,204369,1,1,0.34653806054533365
sw_146,204373,1,0,0.2254585425755813
sw_146,204373,1,1,0.30370783174874727
sw_147,204374,1,0,0.41263370891468026
sw_147,204374,1,1,0.3530612452058382
sw_148,204377,1,0,0.4377084546518993
sw_148,204377,1,1,0.5031559624722465
sw_149,204378,1,0,0.5667475990340968
sw_149,204378,1,1,0.533003650267606
sw_150,204381,1,0,0.5532454481946674
sw_150,204381,1,1,0.47175613926684606
sw_151,204383,1,0,0.6120573516934353
sw_151,204383,1,1,0.5766399513510136
sw_152,204388,1,0,0.46892664321940675
sw_152,204388,1,1,0.37024968968384203
sw_153,204391,1,0,0.27372557163676275
sw_153,204391,1,1,0.299552691574104
sw_154,204400,1,0,0.534198877670868
sw_154,204400,1,1,0.549588531591069
sw_155,204411,1,0,0.39829929813648723
sw_155,204411,1,1,0.39746757157841556
sw_156,204414,1,0,0.32966084862070905
sw_156,204414,1,1,0.36595554227275
sw_157,204441,1,0,0.31298781437753637
sw_157,204441,1,1,0.27039820865364317
sw_158,204455,1,0,0.3375505778175121
sw_158,204455,1,1,0.2965072227148573
sw_159,204460,1,0,0.28736670020974514
sw_159,204460,1,1,0.34605593070249213
sw_160,204466,1,0,0.18618765400395826
sw_160,204466,1,1,0.19187640065091344
sw_161,204472,1,0,0.24240382596831253
sw_161,204472,1,1,0.30281494668989034
sw_162,204473,1,0,0.3840813861966373
sw_162,204473,1,1,0.4051392941856838
sw_163,204481,1,0,0.32362125583611157
sw_163,204481,1,1,0.40724369573242813
sw_164,204514,1,0,0.34806052287833567
sw_164,204514,1,1,0.31814072841483226
sw_165,204520,1,0,0.2710879031934625
sw_165,204520,1,1,0.3546655235551583
sw_166,204534,1,0,0.47797523849417045
sw_166,204534,1,1,0.577378528161948
sw_167,204544,1,0,0.4296390794644211
sw_167,204544,1,1,0.2724693229591793
sw_168,204545,1,0,0.3328219917760807
sw_168,204545,1,1,0.32707813736092023
sw_169,204546,1,0,0.3631466697379864
sw_169,204546,1,1,0.41742175763539435
sw_170,204556,1,0,0.2695409129832435
sw_170,204556,1,1,0.3052348668844158
sw_171,204556,1,0,0.25505263221939983
sw_171,204556,1,1,0.34326825530122446
sw_172,204572,1,0,0.46769825314372476
sw_172,204572,1,1,0.3793158811221221
sw_173,204572,1,0,0.334138584539595
sw_173,204572,1,1,0.3727330434944899
sw_174,204576,1,0,0.3076275285023117
sw_174,204576,1,1,0.3616188397308829
sw_175,213274,1,0,0.38987643674249906
sw_175,213274,1,1,0.31909559163833745
sw_176,4927,1,0,0.18642603220736914
sw_176,4927,1,1,0.2349061020387555
sw_177,4930,1,0,0.28998927210389547
sw_177,4930,1,1,0.26038100625756616
sw_178,4930,1,0,0.24418836017605428
sw_178,4930,1,1,0.1881966947212074
sw_179,4931,1,0,0.20252865665990955
sw_179,4931,1,1,0.19967417201427168
sw_180,62881,1,0,0.207920968936604
sw_180,62881,1,1,0.20878845231789595
sw_181,64960,1,0,0.3201805289243255
sw_181,64960,1,1,0.22534132491694225
sw_182,64960,1,0,0.45890090120751126
sw_182,64960,1,1,0.5053007725381934
sw_183,65551,1,0,0.6401121175089353
sw_183,65551,1,1,0.5104193276940102
sw_184,65551,1,0,0.168101891889953
sw_184,65551,1,1,0.1294215821347907
sw_185,66828,1,0,0.2973105195932983
sw_185,66828,1,1,0.30390812017833735
sw_186,67138,1,0,0.12020088001534585
sw_186,67138,1,1,0.1646218287562251
sw_187,68731,1,0,0.42792336499969297
sw_187,68731,1,1,0.38518339801781454
sw_188,69871,1,0,0.23402183378377378
sw_188,69871,1,1,0.23430906010082908
sw_189,72912,1,0,0.21350136523731603
sw_189,72912,1,1,0.21324377058708416
sw_190,73416,1,0,0.425834385764573
sw_190,73416,1,1,0.3232074478512868
sw_191,73424,1,0,0.3184153649544658
sw_191,73424,1,1,0.28030227992178536
sw_192,73434,1,0,0.27424811979505737
sw_192,73434,1,1,0.25930878448386613
sw_193,73437,1,0,0.28371820277281656
sw_193,73437,1,1,0.22113166887044566
sw_194,73437,1,0,0.24184556458422013
sw_194,73437,1,1,0.29686546210215775
sw_195,73441,1,0,0.38829089073423606
sw_195,73441,1,1,0.5947423302911283
sw_196,73460,1,0,0.4992265172800229
sw_196,73460,1,1,0.3633396815832224
sw_197,73466,1,0,0.37846969637535693
sw_197,73466,1,1,0.4636455196353266
sw_198,73472,1,0,0.13492249701008877
sw_198,73472,1,1,0.184501500653095
sw_199,73472,1,0,0.17426149136692742
sw_199,73472,1,1,0.2042719708755954
sw_200,73483,1,0,0.16664568741524785
sw_200,73483,1,1,0.2706039071622692
sw_201,73507,1,0,0.36346083913025634
sw_201,73507,1,1,0.39756319316721084
sw_202,73531,1,0,0.7654438570837706
sw_202,73531,1,1,0.7230890694176656
sw_203,73542,1,0,0.33238445373369985
sw_203,73542,1,1,0.3436152829551863
sw_204,73542,1,0,0.23488734561660968
sw_204,73542,1,1,0.16268934588468895
sw_205,73574,1,0,0.23006806023775064
sw_205,73574,1,1,0.23357873410505167
sw_206,73579,1,0,0.3688264209310047
sw_206,73579,1,1,0.3057974195648597
sw_207,73579,1,0,0.25803741782681194
sw_207,73579,1,1,0.26428110456806214
sw_208,73586,1,0,0.5212598363335088
sw_208,73586,1,1,0.47387587479361504
sw_209,73586,1,0,0.5994040045975926
sw_209,73586,1,1,0.5053116811561487
sw_210,73603,1,0,0.6802667857495532
sw_210,73603,1,1,0.6685397851975399
sw_211,73653,1,0,0.23921646364324461
sw_211,73653,1,1,0.23042632083803438
sw_212,73655,1,0,0.5161905691346528
sw_212,73655,1,1,0.5692542800241422
sw_213,73663,1,0,0.5141902088212118
sw_213,73663,1,1,0.5564380017069717
sw_214,73666,1,0,0.338490082204433
sw_214,73666,1,1,0.436189798190656
sw_215,73676,1,0,0.26210644686223333
sw_215,73676,1,1,0.19621478856125016
sw_216,73676,1,0,0.27856893522388443
sw_216,73676,1,1,0.18939823825127916
sw_217,73682,1,0,0.6544940715688943
sw_217,73682,1,1,0.6239486173689668
sw_218,73682,1,0,0.2419609590059717
sw_218,73682,1,1,0.23806011592845752
sw_219,73788,1,0,0.29303097107130904
sw_219,73788,1,1,0.270757399378464
sw_220,73808,1,0,0.19685602050770964
sw_220,73808,1,1,0.49690035381338277
sw_221,73825,1,0,0.2876142303068405
sw_221,73825,1,1,0.3050481881328262
sw_222,73875,1,0,0.15293511592289383
sw_222,73875,1,1,0.1541271845741434
sw_223,73883,1,0,0.33630040862166133
sw_223,73883,1,1,0.25007967009328413
sw_224,73889,1,0,0.32853910619570614
sw_224,73889,1,1,0.2773758744847414
sw_225,73891,1,0,0.2860858920453938
sw_225,73891,1,1,0.24720933329148792
sw_226,73932,1,0,0.3441421306413176
sw_226,73932,1,1,0.27535017564000575
sw_227,73933,1,0,0.33000874586862516
sw_227,73933,1,1,0.31590066538186085
sw_228,73933,1,0,0.32945834562163817
sw_228,73933,1,1,0.2877571905051882
sw_229,73933,1,0,0.30395976514446255
sw_229,73933,1,1,0.3266730235459196
sw_230,73933,1,0,0.31458697530813046
sw_230,73933,1,1,0.3140772129676187
sw_231,73933,1,0,0.21224084414308522
sw_231,73933,1,1,0.21730851040927301
